CLK_REF_COUNTER,CPU0_CLOCK_COUNTER,CPU0_CACHE_REFILL,CPU0_CACHE_ACCESS,CPU0_READ_STALL,CPU0_WRITE_STALL,CPU0_INSTR_RENAME,CPU0_BRANCH_MISS,CPU1_CLOCK_COUNTER,CPU1_CACHE_REFILL,CPU1_CACHE_ACCESS,CPU1_READ_STALL,CPU1_WRITE_STALL,CPU1_INSTR_RENAME,CPU1_BRANCH_MISS,
1491874334054000000, 25793, 0, 453617, 0, 0, 2288716, 0, 19, 0, 0, 0, 0, 0, 0, 
1491874334074000000, 234067, 0, 4088940, 0, 0, 20465338, 0, 63, 0, 0, 0, 0, 0, 0, 
1491874334085000000, 348275, 0, 6082403, 0, 0, 30432658, 0, 107, 0, 0, 0, 0, 0, 0, 
1491874334099000000, 497103, 0, 8680128, 0, 0, 43421278, 0, 151, 0, 0, 0, 0, 0, 0, 
1491874334114000000, 655755, 0, 11449328, 0, 0, 57267268, 0, 195, 0, 0, 0, 0, 0, 0, 
1491874334129000000, 809980, 0, 14141248, 0, 0, 70726868, 0, 239, 0, 0, 0, 0, 0, 0, 
1491874334144000000, 965624, 0, 16857938, 0, 0, 84310330, 0, 283, 0, 0, 0, 0, 0, 0, 
1491874334159000000, 1121858, 0, 19584932, 0, 0, 97945288, 0, 327, 0, 0, 0, 0, 0, 0, 
1491874334174000000, 1279167, 0, 22330696, 0, 0, 111674110, 0, 371, 0, 0, 0, 0, 0, 0, 
1491874334184000000, 1381594, 0, 24118510, 0, 0, 120613190, 0, 415, 0, 0, 0, 0, 0, 0, 
1491874334200000000, 1542452, 0, 26926218, 0, 0, 134651726, 0, 459, 0, 0, 0, 0, 0, 0, 
1491874334214000000, 1697209, 0, 29627428, 0, 0, 148381914, 0, 503, 0, 0, 0, 0, 0, 0, 
1491874334229000000, 1853387, 0, 32353451, 0, 0, 161787886, 0, 547, 0, 0, 0, 0, 0, 0, 
1491874334240000000, 1964767, 0, 34297523, 0, 0, 171508246, 0, 591, 0, 0, 0, 0, 0, 0, 
1491874334255000000, 2119013, 0, 36989826, 0, 0, 184969768, 0, 635, 0, 0, 0, 0, 0, 0, 
1491874334270000000, 2276138, 0, 39732360, 0, 0, 198682446, 0, 679, 0, 0, 0, 0, 0, 0, 
1491874334285000000, 2432976, 0, 42469902, 0, 0, 212370146, 0, 723, 0, 0, 0, 0, 0, 0, 
1491874334295000000, 2536450, 0, 44275992, 0, 0, 221400598, 0, 767, 0, 0, 0, 0, 0, 0, 
1491874334310000000, 2693547, 0, 47018050, 0, 0, 235110878, 0, 811, 0, 0, 0, 0, 0, 0, 
1491874334325000000, 2849847, 0, 49746208, 0, 0, 248751670, 0, 855, 0, 0, 0, 0, 0, 0, 
1491874334340000000, 3007432, 0, 52496770, 0, 0, 262504480, 0, 899, 0, 0, 0, 0, 0, 0, 
1491874334350000000, 3110275, 0, 54291857, 0, 0, 271479920, 0, 943, 0, 0, 0, 0, 0, 0, 
1491874334406000000, 3693716, 0, 64475554, 0, 0, 322398400, 0, 1007, 0, 0, 0, 0, 0, 0, 
1491874334465000000, 4313030, 0, 75285392, 0, 0, 376447588, 0, 1071, 0, 0, 0, 0, 0, 0, 
1491874334525000000, 4934237, 0, 86128272, 0, 0, 430661996, 0, 1135, 0, 0, 0, 0, 0, 0, 
1491874334584000000, 5548906, 0, 96857048, 0, 0, 484305880, 0, 1199, 0, 0, 0, 0, 0, 0, 
1491874334643000000, 6157638, 0, 107482196, 0, 0, 537431612, 0, 1263, 0, 0, 0, 0, 0, 0, 
1491874334701000000, 6767638, 0, 118129454, 0, 0, 590667906, 0, 1327, 0, 0, 0, 0, 0, 0, 
1491874334760000000, 7380926, 0, 128834118, 0, 0, 644191226, 0, 1391, 0, 0, 0, 0, 0, 0, 
1491874334818000000, 7988832, 0, 139444847, 0, 0, 697244866, 0, 1455, 0, 0, 0, 0, 0, 0, 
1491874334877000000, 8602702, 0, 150159660, 0, 0, 750818938, 0, 1519, 0, 0, 0, 0, 0, 0, 
1491874334936000000, 9210698, 0, 160771955, 0, 0, 803880410, 0, 1583, 0, 0, 0, 0, 0, 0, 
1491874334994000000, 9820859, 0, 171422042, 0, 0, 857130838, 0, 1647, 0, 0, 0, 0, 0, 0, 
1491874335052000000, 10427362, 0, 182008282, 0, 0, 910062040, 0, 1711, 0, 0, 0, 0, 0, 0, 
1491874335111000000, 11038916, 0, 192682672, 0, 0, 963433988, 0, 1775, 0, 0, 0, 0, 0, 0, 
1491874335169000000, 11645780, 0, 203275205, 0, 0, 1016396656, 0, 1839, 0, 0, 0, 0, 0, 0, 
1491874335228000000, 12255381, 0, 213915526, 0, 0, 1069598258, 0, 1903, 0, 0, 0, 0, 0, 0, 
1491874335287000000, 12866528, 0, 224582822, 0, 0, 1122934746, 0, 1967, 0, 0, 0, 0, 0, 0, 
1491874335344000000, 13465439, 0, 235036535, 0, 0, 1175203310, 0, 2031, 0, 0, 0, 0, 0, 0, 
1491874335403000000, 14081405, 0, 245787934, 0, 0, 1228960300, 0, 2095, 0, 0, 0, 0, 0, 0, 
1491874335462000000, 14697699, 0, 256545071, 0, 0, 1282745986, 0, 2159, 0, 0, 0, 0, 0, 0, 
1491874335520000000, 15295914, 0, 266986638, 0, 0, 1334953826, 0, 2223, 0, 0, 0, 0, 0, 0, 
1491874335578000000, 15905564, 0, 277627800, 0, 0, 1388159638, 0, 2287, 0, 0, 0, 0, 0, 0, 
1491874335637000000, 16518589, 0, 288327884, 0, 0, 1441660048, 0, 2351, 0, 0, 0, 0, 0, 0, 
1491874335696000000, 17128990, 0, 298982150, 0, 0, 1494931394, 0, 2415, 0, 0, 0, 0, 0, 0, 
1491874335755000000, 17747526, 0, 309778420, 0, 0, 1548912730, 0, 2479, 0, 0, 0, 0, 0, 0, 
1491874335814000000, 18363496, 0, 320529896, 0, 0, 1602670116, 0, 2543, 0, 0, 0, 0, 0, 0, 
1491874335873000000, 18977135, 0, 331240688, 0, 0, 1656224076, 0, 2607, 0, 0, 0, 0, 0, 0, 
1491874335932000000, 19592376, 0, 341979434, 0, 0, 1709917806, 0, 2671, 0, 0, 0, 0, 0, 0, 
1491874335991000000, 20206564, 0, 352699812, 0, 0, 1763519696, 0, 2735, 0, 0, 0, 0, 0, 0, 
1491874336050000000, 20817037, 0, 363355342, 0, 0, 1816797338, 0, 2799, 0, 0, 0, 0, 0, 0, 
1491874336109000000, 21435516, 0, 374150603, 0, 0, 1870773644, 0, 2863, 0, 0, 0, 0, 0, 0, 
1491874336168000000, 22047602, 0, 384834288, 0, 0, 1924192074, 0, 2927, 0, 0, 0, 0, 0, 0, 
1491874336227000000, 22663903, 0, 395591542, 0, 0, 1977978338, 0, 2991, 0, 0, 0, 0, 0, 0, 
1491874336286000000, 23271704, 0, 406200424, 0, 0, 2031022750, 0, 3055, 0, 0, 0, 0, 0, 0, 
1491874336344000000, 23884702, 0, 416900032, 0, 0, 2084520788, 0, 3119, 0, 0, 0, 0, 0, 0, 
1491874336403000000, 24498080, 0, 427606266, 0, 0, 2138051964, 0, 3183, 0, 0, 0, 0, 0, 0, 
1491874336462000000, 25113989, 0, 438356669, 0, 0, 2191803988, 0, 3247, 0, 0, 0, 0, 0, 0, 
1491874336521000000, 25723973, 0, 449003681, 0, 0, 2245039036, 0, 3311, 0, 0, 0, 0, 0, 0, 
1491874336580000000, 26343043, 0, 459809248, 0, 0, 2299066880, 0, 3375, 0, 0, 0, 0, 0, 0, 
1491874336638000000, 26941624, 0, 470257211, 0, 0, 2351306684, 0, 3439, 0, 0, 0, 0, 0, 0, 
1491874336697000000, 27561444, 0, 481075900, 0, 0, 2405400128, 0, 3503, 0, 0, 0, 0, 0, 0, 
1491874336755000000, 28163443, 0, 491583512, 0, 0, 2457938192, 0, 3567, 0, 0, 0, 0, 0, 0, 
1491874336814000000, 28780550, 0, 502354829, 0, 0, 2511794774, 0, 3631, 0, 0, 0, 0, 0, 0, 
1491874336873000000, 29392309, 0, 513032808, 0, 0, 2565184678, 0, 3695, 0, 0, 0, 0, 0, 0, 
